# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
P2U-Bardon-LWS02;600;2022-05-02 20:50:01 UTC;581.19;6303.25;185872.71;1.51;185969.46;333.12;22.18;230.17;64.78
P2U-Bardon-LWS02;600;2022-05-02 21:00:01 UTC;4063.78;6034.73;182838.18;390.67;188505.27;282.98;1213.87;888.00;59.32
P2U-Bardon-LWS02;600;2022-05-02 21:10:01 UTC;171.48;5986.68;186741.93;0.16;186354.54;198.61;124.84;13.41;4.15
P2U-Bardon-LWS02;600;2022-05-02 21:20:01 UTC;15.23;6195.90;186154.68;0.16;186411.75;297.67;110.22;30.46;7.47
P2U-Bardon-LWS02;601;2022-05-02 21:30:01 UTC;5.79;6010.68;187573.95;0.02;186860.53;110.81;36.31;17.44;11.85
P2U-Bardon-LWS02;600;2022-05-02 21:40:02 UTC;443.62;6067.89;185795.37;0.25;186719.16;1386.84;422.39;440.88;24.37
P2U-Bardon-LWS02;599;2022-05-02 21:50:01 UTC;120.14;5162.85;180954.96;0.16;183613.30;55.81;33.98;52.20;58.14
P2U-Bardon-LWS02;601;2022-05-02 22:00:01 UTC;3460.42;4765.92;179678.75;499.43;187332.10;88.33;933.75;828.84;81.09
P2U-Bardon-LWS02;599;2022-05-02 22:10:01 UTC;166.47;5197.62;183016.66;40.01;185375.00;0.00;251.73;77.94;30.96
P2U-Bardon-LWS02;600;2022-05-02 22:20:01 UTC;173.99;6889.84;179522.70;0.27;182289.25;153.49;451.44;53.15;8.79
P2U-Bardon-LWS02;600;2022-05-02 22:30:01 UTC;10.05;5758.65;184003.90;0.12;185069.48;107.70;45.02;40.18;26.31
P2U-Bardon-LWS02;600;2022-05-02 22:40:01 UTC;567.48;5659.58;182422.59;0.65;184782.03;1039.09;775.97;196.17;10.81
P2U-Bardon-LWS02;600;2022-05-02 22:50:01 UTC;318.66;5581.31;183464.14;0.96;184889.68;291.70;121.11;142.38;34.49
